Feature,Importance
numerical__MonthlyCharges,0.19307579324886157
numerical__TotalCharges,0.1859789875179125
categorical__Contract_Month-to-month,0.16608205269671064
numerical__tenure,0.12190719524564662
categorical__InternetService_Fiber optic,0.05275554747626148
categorical__PaymentMethod_Electronic check,0.0207688916609459
categorical__gender_Male,0.015291795072495735
categorical__Partner_Yes,0.014839687062886148
categorical__PaperlessBilling_No,0.014443533689081967
numerical__SeniorCitizen,0.014058888790691948
categorical__OnlineBackup_No,0.014008778277792113
categorical__TechSupport_No,0.013148804732681997
categorical__MultipleLines_Yes,0.012876562760524865
categorical__gender_Female,0.012060329488125658
categorical__Dependents_Yes,0.009938734643153804
categorical__TechSupport_Yes,0.009857342632690693
categorical__PaymentMethod_Credit card (automatic),0.009685420030945496
categorical__OnlineSecurity_Yes,0.009305685461985154
categorical__DeviceProtection_No,0.009272168577558696
categorical__OnlineSecurity_No,0.008971473718427181
